year,title,authors,venue,doi,screening_status,screening_reason
2026,DGSemCom: Digital Generative Semantic Communications via Discrete Denoising Diffusion Model for Latent Error Correction,Junxiao Liang; Wenjun Xu; Long Liu; Fengyu Wang; Xiaodong Xu; Jiejie Guo; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3709956,core,explicit semantic-communication terminology in title or abstract
2026,DRL-Driven Resource Allocation for Hybrid NOMA-Assisted Semantic Communication Networks,Haijun Zhang; Jiaxin Ni; Xiangnan Liu; Yuzheng Ren; Zijun Wu; Victor C. M. Leung,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3686618,core,explicit semantic-communication terminology in title or abstract
2026,Diffusion-Based Trajectory and Semantic Resource Optimization in UAV-Assisted Edge Computing,Chen Wang; Ruonan Zhang; Zehui Xiong; Daosen Zhai; Dusit Niyato; Zhu Han,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3657387,core,explicit semantic-communication terminology in title or abstract
2026,Diffusion-Enabled Secure Semantic Communication Against Eavesdropping,Boxiang He; Zihan Chen; Fanggang Wang; Shilian Wang; Zhijin Qin; Tony Q. S. Quek,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3670608,core,explicit semantic-communication terminology in title or abstract
2026,Digital Semantic Communications: An Alternating Multi-Phase Training Strategy With Mask Attack,Mingze Gong; Shuoyao Wang; Suzhi Bi; Yuan Wu; Liping Qian,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3611141,core,explicit semantic-communication terminology in title or abstract
2026,ESC-MVQ: End-to-End Semantic Communication With Multi-Codebook Vector Quantization,Junyong Shin; Yongjeong Oh; Jinsung Park; Joohyuk Park; Yo-Seb Jeon,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3605838,core,explicit semantic-communication terminology in title or abstract
2026,Enabling Terahertz Communications in Vehicular Networks: Continuous Beam Coverage and Semantic NOMA,Hanwen Zhang; Tianchi Zhou; Supeng Leng; Hongxin Zeng; Xianbing Zou; Yaxin Zhang; Tony Q. S. Quek,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3711128,core,explicit semantic-communication terminology in title or abstract
2026,Feature-Foundation Model Evolution for Low-Latency Semantic Communication,Haobo Zhang; Boya Di; Hongliang Zhang; Dusit Niyato; Lingyang Song,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3659294,core,explicit semantic-communication terminology in title or abstract
2026,Feature-Sensitivity-Aware Quantization and Joint Multi-Streaming Design for Latency-Constrained Multi-Task Semantic Communications,Huanyu Zhang; Yulin Hu; Xiaopeng Yuan; Anke Schmeink,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3718740,core,explicit semantic-communication terminology in title or abstract
2026,Flexible Bit and Semantic On-Demand Transmission Framework in Hyper-Reliable and Low Latency Communications Scenarios,Jingxuan Zhang; Xiqi Cheng; Haijun Zhang; Peng Cui; Suyu Lv; Xiaodong Xu; Ping Zhang; Tony Q. S. Quek,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3598278,core,explicit semantic-communication terminology in title or abstract
2026,Foundation Model-Aided Channel-Adaptive Video Semantic Communication and Prototype Validation,Jiarun Ding; Peiwen Jiang; Chao-Kai Wen; Xiao Li; Shi Jin,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3600221,core,explicit semantic-communication terminology in title or abstract
2026,Generative AI Driven Task-Oriented Adaptive Semantic Communications,Yuzhou Fu; Wenchi Cheng; Jingqing Wang; Liuguo Yin; Wei Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3644355,core,explicit semantic-communication terminology in title or abstract
2026,Generative Feature Imputing—A Technique for Error-Resilient Semantic Communication,Jianhao Huang; Qunsong Zeng; Hongyang Du; Kaibin Huang,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3700909,core,explicit semantic-communication terminology in title or abstract
2026,Generative Semantic Communications for Robust Speech-to-Text Translation,Zhenzi Weng; Zijing Wang; Zhijin Qin; Xiaoming Tao,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3590671,core,explicit semantic-communication terminology in title or abstract
2026,Goal-Oriented Semantic Communication for ISAC-Enabled Robotic Obstacle Avoidance,Wenjie Liu; Yansha Deng; Henk Wymeersch,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3716013,core,explicit semantic-communication terminology in title or abstract
2026,Goal-Oriented Semantic Communication for Wireless Video Transmission via Generative AI,Nan Li; Yansha Deng; Dusit Niyato,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3654401,core,explicit semantic-communication terminology in title or abstract
2026,Goal-Oriented Semantic Communications Enabled by Generative AI and Optimal Transport for Metaverse Construction,Zhe Wang; Nan Li; Yansha Deng; A. Hamid Aghvami,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3707742,core,explicit semantic-communication terminology in title or abstract
2026,Goal-Oriented Transmission Scheduling: Structure-Guided DRL With a Unified Dual On-Policy and Off-Policy Approach,Jiazheng Chen; Wanchun Liu,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3627531,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2026,Holographic Beamforming for Semantic Communication,Shuhao Zeng; Haobo Zhang; Su Wang; Boya Di; Hongliang Zhang; Zhu Han; H. Vincent Poor; Lingyang Song,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3707475,core,explicit semantic-communication terminology in title or abstract
2026,Hybrid-Action DRL-Based Resource Allocation for Semantic-Aware Computation Offloading in Vehicular Edge Networks,Quan Chen; Xiaoqin Song; Tiecheng Song; Yang Yang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3626670,core,explicit semantic-communication terminology in title or abstract
2026,Importance-Aware Semantic Communication in MIMO-OFDM Systems Using Vision Transformer,Joohyuk Park; Yongjeong Oh; Jihun Park; Yo-Seb Jeon,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3665639,core,explicit semantic-communication terminology in title or abstract
2026,In-Context Learning for Deep Joint Source-Channel Coding Over MIMO Channels,Meng Hua; Wenjing Zhang; Chenghong Bian; Deniz Gündüz,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3697658,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2026,Joint Optimization of Digital Semantic Communication and Radar Sensing for Enhanced ISAC,Ouwen Huan; Chuanhong Liu; Nuocheng Yang; Zhilong Zhang; Tao Luo; Mingzhe Chen,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3690165,core,explicit semantic-communication terminology in title or abstract
2026,Joint Power and Spectrum Orchestration for D2D Semantic Communication Underlying Energy-Efficient Cellular Networks,Le Xia; Yao Sun; Haijian Sun; Rose Qingyang Hu; Dusit Niyato; Muhammad Ali Imran,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3612327,core,explicit semantic-communication terminology in title or abstract
2026,Joint Semantic-Channel Coding and Modulation for Token Communications,Jingkai Ying; Zhijin Qin; Yulong Feng; Liejun Wang; Xiaoming Tao,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3636174,core,explicit semantic-communication terminology in title or abstract
2026,Joint Source-Channel Coding for Task-Oriented Broadcast Communications: An Information Bottleneck Approach With Rate Splitting,Youlong Wu; Jingfeng Huang; Yuanming Shi; Shuai Ma; Kai Niu; Meixia Tao; Khaled B. Letaief,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3671290,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2026,Knowledge Distillation-Driven Semantic NOMA for Image Transmission With Diffusion Model,Qifei Wang; Zhen Gao; Shuo Sun; Zhijin Qin; Xiaodong Xu; Meixia Tao,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3658710,core,explicit semantic-communication terminology in title or abstract
2026,Land-Then-Transport: A Flow Matching-Based Generative Decoder for Wireless Image Transmission,Jingwen Fu; Ming Xiao; Mikael Skoglund; Dong In Kim,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3710439,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2026,Large Generative Model Assisted 3D Semantic Communication,Yubo Peng; Feibo Jiang; Li Dong; Kezhi Wang; Kun Yang; Cunhua Pan; Xiaohu You,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3624573,core,explicit semantic-communication terminology in title or abstract
2026,Learning to Interfere in Non-Orthogonal Multiple-Access Joint Source-Channel Coding,Selim F. Yilmaz; Can Karamanlı; Deniz Gündüz,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3688951,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2026,MambaJSCC: Adaptive Deep Joint Source–Channel Coding With Generalized State Space Model,Tong Wu; Zhiyong Chen; Meixia Tao; Yaping Sun; Xiaodong Xu; Wenjun Zhang; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3643835,core,explicit semantic-communication terminology in title or abstract
2026,Multimodal Semantic Communication With Information-Theoretic Disentangled Representations,Fan Gao; Youzheng Wang; Zhijin Qin; Feifei Gao,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3707164,core,explicit semantic-communication terminology in title or abstract
2026,Multiuser Semantic Communication With Concurrent Access for Collaborative Sensing in Internet of Vehicles,Zhihong Wang; Supeng Leng; Yujie Qin; Dusit Niyato,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3674666,core,explicit semantic-communication terminology in title or abstract
2026,Optimization of Private Semantic Communication Performance: An Uncooperative Covert Communication Method,Wenjing Zhang; Ye Hu; Tao Luo; Zhilong Zhang; Mingzhe Chen,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3590749,core,explicit semantic-communication terminology in title or abstract
2026,"Position-Aided Semantic Communication for Efficient Image Transmission: Design, Implementation, and Experimental Results",Peiwen Jiang; Chao-Kai Wen; Shi Jin; Jun Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3614765,core,explicit semantic-communication terminology in title or abstract
2026,"RIS-Enhanced Semantic-Aware Sensing, Communication, Computation, and Control for Internet of Things",Sun Mao; Chau Yuen; Lei Liu; Ming Xiao; Shui Yu; Ning Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3595550,core,explicit semantic-communication terminology in title or abstract
2026,ROME: Robust Model Ensembling for Semantic Communication Against Semantic Jamming Attacks,Kequan Zhou; Guangyi Zhang; Yunlong Cai; Qiyu Hu; Guanding Yu,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3597672,core,explicit semantic-communication terminology in title or abstract
2026,Resource Allocation for Image Transmission Using Adaptive Semantic and Bit Communication,Peixuan Li; Yichen Wang; Xiao Tang; Moqi Liu; Haotian Liu; Julian Cheng,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3604516,core,explicit semantic-communication terminology in title or abstract
2026,Rethinking the PAPR Pitfall in Deep Learning-Based Semantic Communication Systems,Ruimao He; Xuefei Zhang; Yao Sun; Qimei Cui; Xiaofeng Tao,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3704073,core,explicit semantic-communication terminology in title or abstract
2026,Robust Deep Joint Source-Channel Coding Enabled Distributed Image Transmission With Imperfect Channel State Information,Biao Dong; Bin Cao; Guan Gui; Qinyu Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3601155,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2026,Robust Information Bottleneck Guided Non-Autoregressive Semantic Communication With Synonymous Mapping,Mingtong Zhang; Haixia Zhang; Dongfeng Yuan; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3679533,core,explicit semantic-communication terminology in title or abstract
2026,Robust Semantic Communication: A Dimension Selective Fading Analysis and Repair Approach,Minghao Shang; Yang Zhang; Lihua Pang; Yaxin Ren; Yonghui Zhai; Jiandong Li,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3717328,core,explicit semantic-communication terminology in title or abstract
2026,Robustness-Enabled Energy-Efficient Feature Transmission for Edge Inference,Zhifeng Wang; Qunsong Zeng,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3671986,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2026,SPHARQ-Based Semantic Communication,Wannian An; Chen Dong; Haotai Liang; Xiaodong Xu; Rui Meng; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3649359,core,explicit semantic-communication terminology in title or abstract
2026,Scalable Deep Joint Source-Channel Coding for Multi-User Wireless Image Transmission With Diverse Bandwidth Conditions,Feng Wang; Xuechen Chen; Xiaoheng Deng; Siyu Lin,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3630680,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2026,SemHARQ: Semantic-Aware Hybrid Automatic Repeat Request for Multi-Task Semantic Communications,Jiangjing Hu; Fengyu Wang; Wenjun Xu; Hui Gao; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3602146,core,explicit semantic-communication terminology in title or abstract
2026,Semantic Communication Over MIMO Channels via Score-Based Reverse Mean Propagation,Yinuo Huang; Xiaojun Yuan; Hao Jiang; Meixia Tao,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3703886,core,explicit semantic-communication terminology in title or abstract
2026,Semantic Communication-Enhanced U-Shaped Split Federated Learning With Adaptive Compression for Vehicular Networks,Lu Yu; Zheng Chang,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3660781,core,explicit semantic-communication terminology in title or abstract
2026,Semantic Communications for UAV Data Aggregation: A Layered Design Against Alterable Hovering Position,Lan Lin; Wenjun Xu; Yimeng Zhang; Xin Yuan; Jinglin Zhang; Zhu Han; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3614182,core,explicit semantic-communication terminology in title or abstract
2026,Semantic Noise-Aided Secure Image Transmission Over MIMO Fading Channels,Xue Han; Biqian Feng; Ting Zhou; Yongpeng Wu; Yuanwei Liu; Arumugam Nallanathan; Xiang-Gen Xia; Wenjun Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3703496,core,explicit semantic-communication terminology in title or abstract
2026,Semantic-Aware UAV Swarms for Low-Delay and Energy-Efficient Data Collection,Haiyan Li; Xuan Li; Hongyu Wang; Shufan Jia; Jinyu Yang; Mugen Peng,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3715324,core,explicit semantic-communication terminology in title or abstract
2026,Semantic-Relevance-Based Sensor Selection for Edge-AI Empowered Sensing Systems,Zhiyan Liu; Kaibin Huang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3605523,core,explicit semantic-communication terminology in title or abstract
2026,Semantics-Guided Diffusion for Deep Joint Source-Channel Coding in Wireless Image Transmission,Maojun Zhang; Haotian Wu; Guangxu Zhu; Richeng Jin; Xiaoming Chen; Deniz Gündüz,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3591456,core,explicit semantic-communication terminology in title or abstract
2026,Spectral Efficiency-Aware Codebook Design for Task-Oriented Semantic Communications,Anbang Zhang; Shuaishuai Guo; Chenyuan Feng; Shuai Liu; Hongyang Du; Geyong Min,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3677460,core,explicit semantic-communication terminology in title or abstract
2026,Superimposed Pilot-Based Adaptive Semantic Communications for Wireless Image Transmission,Jian Zou; Jian Xiao; Wenwu Xie; Fanyang Meng; Renhai Feng; Liang Yang; Yongsheng Liang,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3694102,core,explicit semantic-communication terminology in title or abstract
2026,Synesthesia of Machines (SoM)-Empowered Wireless Image Transmission Over Time-Varying Dynamic Channel,Haozhen Li; Ruide Zhang; Rongqing Zhang; Xiang Cheng,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3690314,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2026,Task-Agnostic Semantic Communications Relying on Information Bottleneck and Federated Meta-Learning,Hao Wei; Wen Wang; Wanli Ni; Wenjun Xu; Yongming Huang; Dusit Niyato; Ping Zhang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3632819,core,explicit semantic-communication terminology in title or abstract
2026,Task-Oriented Multimodal Edge Intelligence via Integrated Sensing-Communication-Computation,Weiwei Chen; Yinghui He; Zhong Ye; Dingzhu Wen; Guanding Yu,IEEE Transactions on Wireless Communications,10.1109/twc.2026.3710771,related,"task/goal-oriented communication, feature/model transport, or DeepJSCC boundary lineage"
2026,VAE-GAN-Based Semantic Communication for High-Quality Image Transmission,Naoki Omi; Shun Kojima; Chang-Jun Ahn,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3646209,core,explicit semantic-communication terminology in title or abstract
2026,VQ-DeepVSC: A Dual-Stage Vector Quantization System for Video Semantic Communication,Yongyi Miao; Zhongdang Li; Yang Wang; Die Hu; Jun Yan; Youfang Wang,IEEE Transactions on Wireless Communications,10.1109/twc.2025.3641237,core,explicit semantic-communication terminology in title or abstract
